,縣市,鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第17案同意票數,第17案有效票數,第17案同意率,第18案同意票數,第18案有效票數,第18案同意率,第19案同意票數,第19案有效票數,第19案同意率,第20案同意票數,第20案有效票數,第20案同意率
0,高雄市,大寮區,光武里,17,11309,665,637,27.0,42.0,0.6429,28.0,41.0,0.6829,28.0,42.0,0.6667,28.0,42.0,0.6667
1,嘉義縣,阿里山鄉,茶山村,19,11483,604,564,35.0,82.0,0.4268,40.0,82.0,0.4878,32.0,81.0,0.3951,36.0,82.0,0.439
2,澎湖縣,湖西鄉,太武村,15,12693,846,742,14.0,31.0,0.4516,17.0,30.0,0.5667,15.0,31.0,0.4839,15.0,30.0,0.5
3,臺南市,左鎮區,二寮里,20,12790,640,630,17.0,88.0,0.1932,22.0,86.0,0.2558,21.0,90.0,0.2333,21.0,89.0,0.236
4,高雄市,旗山區,中寮里,22,13854,630,480,22.0,67.0,0.3284,19.0,66.0,0.2879,19.0,67.0,0.2836,18.0,67.0,0.2687
5,新北市,平溪區,新寮里,24,14943,623,548,18.0,39.0,0.4615,21.0,40.0,0.525,20.0,40.0,0.5,19.0,40.0,0.475
6,嘉義縣,阿里山鄉,新美村,27,15004,556,571,68.0,93.0,0.7312,68.0,93.0,0.7312,64.0,92.0,0.6957,65.0,92.0,0.7065
7,花蓮縣,鳳林鎮,森榮里,28,15352,548,525,36.0,44.0,0.8182,37.0,44.0,0.8409,36.0,43.0,0.8372,39.0,44.0,0.8864
8,新北市,平溪區,平湖里,28,15637,558,486,32.0,72.0,0.4444,31.0,72.0,0.4306,31.0,72.0,0.4306,31.0,72.0,0.4306
9,嘉義縣,阿里山鄉,豐山村,27,16741,620,478,51.0,82.0,0.622,51.0,82.0,0.622,50.0,81.0,0.6173,47.0,82.0,0.5732
10,嘉義縣,中埔鄉,東興村,31,16831,543,461,68.0,155.0,0.4387,66.0,153.0,0.4314,63.0,154.0,0.4091,64.0,154.0,0.4156
11,嘉義縣,梅山鄉,碧湖村,28,17215,615,527,38.0,83.0,0.4578,38.0,84.0,0.4524,42.0,83.0,0.506,41.0,84.0,0.4881
12,臺南市,龍崎區,中坑里,17,17465,1027,643,20.0,52.0,0.3846,20.0,53.0,0.3774,20.0,53.0,0.3774,19.0,53.0,0.3585
